Time: 2024-05-12 01:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 238.9, 'Long wave outgoing solar radiation': 287.1, 'Global radiation': -2.0, 'Direct solar radiation': -2.5, 'Reflected radiation': -2.7, 'Sunshine duration': 0.0, 'Diffuse radiation': 0.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 01:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 237.7, 'Long wave outgoing solar radiation': 285.8, 'Global radiation': -0.6, 'Direct solar radiation': -0.5, 'Reflected radiation': -2.0, 'Sunshine duration': 0.0, 'Diffuse radiation': 1.3, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 01:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 238.2, 'Long wave outgoing solar radiation': 286.7, 'Global radiation': 1.6, 'Direct solar radiation': -0.6, 'Reflected radiation': -0.8, 'Sunshine duration': 0.0, 'Diffuse radiation': 3.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 02:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 238.9, 'Long wave outgoing solar radiation': 290.2, 'Global radiation': 6.2, 'Direct solar radiation': 0.2, 'Reflected radiation': 0.5, 'Sunshine duration': 0.0, 'Diffuse radiation': 7.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 02:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 238.4, 'Long wave outgoing solar radiation': 288.3, 'Global radiation': 15.7, 'Direct solar radiation': 61.5, 'Reflected radiation': 1.1, 'Sunshine duration': 0.0, 'Diffuse radiation': 11.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 02:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 253.7, 'Long wave outgoing solar radiation': 296.2, 'Global radiation': 30.0, 'Direct solar radiation': 23.5, 'Reflected radiation': 8.6, 'Sunshine duration': 0.0, 'Diffuse radiation': 22.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 02:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 244.8, 'Long wave outgoing solar radiation': 298.0, 'Global radiation': 24.7, 'Direct solar radiation': 3.8, 'Reflected radiation': 4.2, 'Sunshine duration': 0.0, 'Diffuse radiation': 28.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 03:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 240.5, 'Long wave outgoing solar radiation': 295.2, 'Global radiation': 25.0, 'Direct solar radiation': 1.1, 'Reflected radiation': 3.1, 'Sunshine duration': 0.0, 'Diffuse radiation': 27.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.1}
Time: 2024-05-12 03:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 239.8, 'Long wave outgoing solar radiation': 296.3, 'Global radiation': 32.3, 'Direct solar radiation': 9.1, 'Reflected radiation': 5.2, 'Sunshine duration': 0.0, 'Diffuse radiation': 35.0, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.1}
Time: 2024-05-12 03:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 238.1, 'Long wave outgoing solar radiation': 300.9, 'Global radiation': 84.2, 'Direct solar radiation': 186.5, 'Reflected radiation': 15.8, 'Sunshine duration': 45.0, 'Diffuse radiation': 46.3, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.1}
